Date,Open,High,Low,Close,Returns%
2000-01-31,134.95,141.5,109.25,114.6,-15.079659133012225
2000-02-29,120.0,137.0,92.5,97.45,-18.791666666666664
2000-03-31,99.9,118.0,86.0,109.15,9.25925925925926
2000-04-30,111.85,127.0,87.4,90.15,-19.400983459991053
2000-05-31,88.35,104.0,75.25,96.6,9.33786078098472
2000-06-30,97.0,102.0,90.0,93.35,-3.76288659793815
2000-07-31,93.1,106.5,87.0,94.65,1.6648764769065645
2000-08-31,95.0,100.6,92.0,93.3,-1.7894736842105292
2000-09-30,93.0,96.35,80.0,80.5,-13.440860215053764
2000-10-31,83.0,85.45,72.0,83.05,0.060240963855418266
2000-11-30,88.0,97.0,78.0,91.9,4.431818181818188
2000-12-31,90.5,107.9,89.15,97.25,7.458563535911602
2001-01-31,98.0,107.9,90.0,94.35,-3.724489795918373
2001-02-28,95.0,107.7,87.2,92.8,-2.3157894736842137
2001-03-31,92.75,94.9,69.0,72.15,-22.210242587601073
2001-04-30,71.3,74.5,64.3,67.65,-5.119214586255247
2001-05-31,67.75,80.9,65.25,76.5,12.915129151291513
2001-06-30,76.65,77.0,64.8,66.6,-13.111545988258332
2001-07-31,66.5,74.0,64.45,73.35,10.30075187969924
2001-08-31,75.75,79.35,67.7,78.75,3.9603960396039604
2001-09-30,80.0,89.9,69.1,78.85,-1.437500000000007
2001-10-31,79.25,88.05,74.85,81.45,2.7760252365930635
2001-11-30,84.0,91.8,81.0,85.45,1.7261904761904796
2001-12-31,84.35,90.0,75.0,78.6,-6.816834617664494
2002-01-31,78.85,86.0,75.0,82.5,4.629042485732411
2002-02-28,80.75,101.8,80.75,89.35,10.650154798761603
2002-03-31,88.1,103.0,84.0,100.15,13.677639046538038
2002-04-30,101.0,124.0,99.65,108.7,7.623762376237626
2002-05-31,110.0,114.0,92.0,99.35,-9.681818181818185
2002-06-30,103.0,122.8,98.0,109.2,6.019417475728157
2002-07-31,112.7,147.35,108.25,112.15,-0.48802129547470907
2002-08-31,112.5,123.9,105.15,115.5,2.6666666666666665
2002-09-30,116.75,116.9,100.1,101.6,-12.976445396145614
2002-10-31,100.95,111.0,92.9,94.25,-6.6369489846458665
2002-11-30,96.0,108.4,94.0,103.95,8.281250000000002
2002-12-31,103.8,121.0,99.85,111.4,7.321772639691724
2003-01-31,112.0,123.9,101.0,104.3,-6.875000000000002
2003-02-28,105.0,110.0,96.5,103.65,-1.2857142857142803
2003-03-31,104.0,105.6,90.0,90.8,-12.692307692307695
2003-04-30,91.5,98.7,89.0,93.05,1.6939890710382484
2003-05-31,94.0,112.9,93.3,110.3,17.340425531914892
2003-06-30,111.9,127.25,101.1,123.0,9.919571045576403
