,SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE
791,J&KBANK,The Jammu & Kashmir Bank Limited,EQ,1998-01-22 00:07:00,1,1,INE168A01041,1
1616,TATAINVEST,Tata Investment Corporation Limited,EQ,1998-01-24 00:06:00,10,1,INE672A01018,10
355,CUB,City Union Bank Limited,EQ,1998-01-25 00:08:00,1,1,INE491A01021,1
1189,ORIENTHOT,Oriental Hotels Limited,EQ,1998-01-27 00:08:00,1,1,INE750A01020,1
751,INDUSINDBK,IndusInd Bank Limited,EQ,1998-01-28 00:01:00,10,1,INE095A01012,10
943,LICHSGFIN,LIC Housing Finance Limited,EQ,1998-01-29 00:07:00,2,1,INE115A01026,2
361,CYIENT,Cyient Limited,EQ,1998-01-30 00:09:00,5,1,INE136B01020,5
1309,RALLIS,Rallis India Limited,EQ,1999-01-01 00:04:00,1,1,INE613A01020,1
1611,TATACHEM,Tata Chemicals Limited,EQ,1999-01-01 00:04:00,10,1,INE092A01019,10
26,ACCELYA,Accelya Solutions India Limited,EQ,1999-01-01 00:12:00,10,1,INE793A01012,10
1141,NIPPOBATRY,Indo-National Limited,EQ,1999-01-06 00:10:00,5,1,INE567A01028,5
1719,UNITECH,Unitech Limited,BZ,1999-01-08 00:09:00,2,1,INE694A01020,2
900,KOPRAN,Kopran Limited,EQ,1999-01-09 00:06:00,10,1,INE082A01010,10
785,ITDCEM,ITD Cementation India Limited,EQ,1999-01-10 00:02:00,1,1,INE686A01026,1
758,INGERRAND,Ingersoll Rand (India) Limited,EQ,1999-01-15 00:04:00,10,1,INE177A01018,10
787,IVC,IL&FS Investment Managers Limited,EQ,1999-01-15 00:09:00,2,1,INE050B01023,2
948,LINDEINDIA,Linde India Limited,EQ,1999-01-16 00:06:00,10,1,INE473A01011,10
1084,MTNL,Mahanagar Telephone Nigam Limited,EQ,1999-01-17 00:02:00,10,1,INE153A01019,10
697,ICDSLTD,ICDS Limited,BE,1999-01-17 00:11:00,10,1,INE613B01010,10
1372,RSSOFTWARE,R. S. Software (India) Limited,EQ,1999-01-19 00:05:00,5,1,INE165B01029,5
897,KOHINOOR,Kohinoor Foods Limited,EQ,1999-01-20 00:10:00,10,1,INE080B01012,10
69,ALEMBICLTD,Alembic Limited,EQ,1999-01-22 00:09:00,2,1,INE426A01027,2
1689,TTKPRESTIG,TTK Prestige Limited,EQ,1999-01-22 00:12:00,1,1,INE690A01028,1
223,BERGEPAINT,Berger Paints (I) Limited,EQ,1999-01-24 00:11:00,1,1,INE463A01038,1
269,BSOFT,BIRLASOFT LIMITED,EQ,1999-01-24 00:11:00,2,1,INE836A01035,2
1070,MOREPENLAB,Morepen Laboratories Limited,EQ,1999-01-24 00:11:00,2,1,INE083A01026,2
360,CYBERTECH,Cybertech Systems And Software Limited,EQ,1999-01-27 00:01:00,10,1,INE214A01019,10
1497,SKFINDIA,SKF India Limited,EQ,1999-01-27 00:01:00,10,1,INE640A01023,10
1668,TNPETRO,Tamilnadu PetroProducts Limited,EQ,1999-01-27 00:10:00,10,1,INE148A01019,10
1053,MIRZAINT,Mirza International Limited,EQ,1999-01-28 00:04:00,2,1,INE771A01026,2
1104,NATIONALUM,National Aluminium Company Limited,EQ,1999-01-28 00:04:00,5,1,INE139A01034,5
363,DABUR,Dabur India Limited,EQ,1999-01-28 00:04:00,1,1,INE016A01026,1
1226,PFIZER,Pfizer Limited,EQ,1999-01-28 00:04:00,10,1,INE182A01018,10
1516,SONATSOFTW,Sonata Software Limited,EQ,1999-01-28 00:07:00,1,1,INE269A01021,1
813,JINDALSTEL,Jindal Steel & Power Limited,EQ,1999-01-29 00:12:00,1,1,INE749A01030,1
